sentence,label
فنحن نحتاج إلى التفكير في كيفية التقليل من هذه التكاليف ، ولكن كيف ؟,فنحن نحتاج إلى التفكير في كيفية التقليل من هذه التكاليف ، ولكن كيف ___ نقلل من هذه التكاليف ___؟
نبوخذنزر,نبوخذنزر
صاح أصدقائي عندئذ: بلى ، نخفّف آلامه ، ونشاركه أحزانه ، ونحاول أن ندخل الفرحة في القلوب البائسة . ولكن كيف ؟,صاح أصدقائي عندئذ: بلى ، نخفّف آلامه ، ونشاركه أحزانه ، ونحاول أن ندخل الفرحة في القلوب البائسة . ولكن كيف ___ ؟
لو كان لديك آلة زمن أي زمن ستختارين و لماذا ؟,لو كان لديك آلة زمن أي زمن ستختارين و لماذا ___؟
الأرجواني,الأرجواني
في أي سنة تم انعقاد الاجتماع الأول لدول الخليج العربية؟ و أين ؟,في أي سنة تم انعقاد الاجتماع الأول لدول الخليج العربية؟ و أين ___؟
الأردن تشتهر بالمنسف والمغرب بالكسكس,الأردن تشتهر بالمنسف والمغرب ___ تشتهر بالكسكس
ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ؟,ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ___ ؟
فالإمام عليه مسؤولية وتبعات، ومؤذن المسجد والمصلون كذلك.,فالإمام عليه مسؤولية وتبعات، ومؤذن المسجد والمصلون كذلك ___ عليهم مسؤولية وتبعات ___.
لم أنم جيدا منذ شهور!! كما أن معدتي تؤلمني جدا وظهري أيضا.,لم أنم جيدا منذ شهور!! كما أن معدتي تؤلمني جدا وظهري ___ أيضا.
ما يكشف عن غرابة وندرة وضع جايسون وكذلك اختلافه.,ما يكشف عن غرابة وندرة وضع جايسون وكذلك اختلافه ___.
متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك أخبار مصر في الصحف المصرية,متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك أخبار مصر في الصحف المصرية
وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و آخر عن مصادر الطاقة الحيوية في لبنان,وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و ___ مقال آخر عن مصادر الطاقة الحيوية في لبنان
الثعبان,الثعبان
الفرح,الفرح
صدرت تصريحات عن المسؤولين في الحكومة اليمنية وأخرى عن جماعة أنصار الله,صدرت تصريحات عن المسؤولين في الحكومة اليمنية وأخرى ___ عن جماعة أنصار الله
للوقاية من الأمراض.,للوقاية من الأمراض.
حقق النجاح المطلوب إذ أن الجرافكس أصبحت أفضل والتحكم أيضا.,حقق النجاح المطلوب إذ أن الجرافكس أصبحت أفضل والتحكم ___ أيضا.
أفضت إلى كشف عمليات احتيالية تظهر وجود المواد الغذائية ولكن فقط على الورق، أما على أرض الواقع فلا.,أفضت إلى كشف عمليات احتيالية تظهر وجود المواد الغذائية ولكن فقط على الورق، أما على أرض الواقع فلا ___.
الفندق مريح جداً وفخم والموقع ممتاز وقريب من السنتر وكذلك من البحيرة والميناء الرئيسي للسفر,الفندق مريح جداً وفخم والموقع ممتاز وقريب من السنتر وكذلك ___ قريب ___ من البحيرة والميناء الرئيسي للسفر
نحن نشاهد التلفاز وهم السينما,نحن نشاهد التلفاز وهم ___ السينما
هل واجهتِ صعوبات في مسيرتك الرياضية؟ وكيف ؟,هل واجهتِ صعوبات في مسيرتك الرياضية؟ وكيف ___ واجهتِ صعوبات في مسيرتك الرياضية ___؟
بالمحافظة على التقاليد والعادات.,بالمحافظة على التقاليد والعادات.
بمناقشة الأفكار والآراء.,بمناقشة الأفكار والآراء ___.
توجيههم وتعليمهم القيم الصحيحة.,توجيههم وتعليمهم القيم الصحيحة.
"فقال: ""إن العالم يعاملني معاملة طيبة، أما الناس الذين فيه فلا "".","فقال: ""إن العالم يعاملني معاملة طيبة، أما الناس الذين فيه فلا ___ ""."
في الأسواق.,في الأسواق.
بالسقاية والتسميد.,بالسقاية والتسميد ___.
ويقول العلماء ان السؤال ليس هل سيحدث ذلك ولكن متى ؟,ويقول العلماء ان السؤال ليس هل سيحدث ذلك ولكن ___ سيحدث ذلك ___ ؟
الأوكسجين,الأوكسجين
شاهدنا مسرحية ماكبث في مسرح الجامعة و الفيلم في السينما.,شاهدنا مسرحية ماكبث في مسرح الجامعة و ___ الفيلم في السينما.
